Time,Heat value
10/10/21 22:45,2294.4958
10/10/21 22:50,2270.6143
10/10/21 22:55,2247.1787
10/10/21 23:00,2222.4849
10/10/21 23:05,2242.1392
10/10/21 23:10,2293.5027
10/10/21 23:15,2335.9995
10/10/21 23:20,2370.2493
10/10/21 23:25,2407.2908
10/10/21 23:30,2455.4807
10/10/21 23:35,2469.7532
10/10/21 23:40,2409.5928
10/10/21 23:45,2354.5208
10/10/21 23:50,2309.1533
10/10/21 23:55,2306.848
10/11/21 0:00,2305.224
10/11/21 0:05,2302.2375
10/11/21 0:10,2313.4417
10/11/21 0:15,2331.649
10/11/21 0:20,2346.2275
10/11/21 0:25,2355.9377
10/11/21 0:30,2359.5813
10/11/21 0:35,2390.169
10/11/21 0:40,2357.798
10/11/21 0:45,2303.8245
10/11/21 0:50,2255.854
10/11/21 0:55,2202.9358
10/11/21 1:00,2156.663
10/11/21 1:05,2115.1565
10/11/21 1:10,2156.0146
10/11/21 1:15,2244.8882
10/11/21 1:20,2259.1328
10/11/21 1:25,2218.3206
10/11/21 1:30,2178.51
10/11/21 1:35,2140.916
10/11/21 1:40,2146.4756
10/11/21 1:45,2179.0906
10/11/21 1:50,2195.123
10/11/21 1:55,2201.8032
10/11/21 2:00,2210.0154
10/11/21 2:05,2204.0068
10/11/21 2:10,2192.9214
10/11/21 2:15,2187.0327
10/11/21 2:20,2192.4365
10/11/21 2:25,2197.9272
10/11/21 2:30,2203.94
10/11/21 2:35,2213.4363
10/11/21 2:40,2219.0718
10/11/21 2:45,2209.0466
10/11/21 2:50,2181.8235
10/11/21 2:55,2160.9653
10/11/21 3:00,2134.8066
10/11/21 3:05,2108.981
10/11/21 3:10,2087.3223
10/11/21 3:15,2074.932
10/11/21 3:20,2217.5938
10/11/21 3:25,2355.5767
10/11/21 3:30,2310.6514
10/11/21 3:35,2275.6575
10/11/21 3:40,2244.2532
10/11/21 3:45,2236.5647
10/11/21 3:50,2229.5002
10/11/21 3:55,2223.572
10/11/21 4:00,2226.9507
10/11/21 4:05,2234.4768
10/11/21 4:10,2238.4297
10/11/21 4:15,2260.867
10/11/21 4:20,2257.05
10/11/21 4:25,2209.0981
10/11/21 4:30,2166.1567
10/11/21 4:35,2123.328
10/11/21 4:40,2083.287
10/11/21 4:45,2057.096
10/11/21 4:50,2213.6848
10/11/21 4:55,2348.7017
